pair,model,n_obs,mean_log_score,pit_ks_stat,pit_ks_pvalue,q01_hit_rate,q01_pvalue,q05_hit_rate,q05_pvalue,q95_hit_rate,q95_pvalue,q99_hit_rate,q99_pvalue
EURGBP,AR,945,3.0495008282460625,0.04134887125343889,0.07681599911027237,0.014814814814814815,0.13856610541603942,0.04338624338624339,0.4109743666283695,0.05185185185185185,0.7652274845521139,0.026455026455026454,1.689974734600019e-05
EURGBP,HAR,945,3.1113580084558863,0.025147594550143926,0.5796356019764813,0.010582010582010581,0.7445489995841177,0.039153439153439155,0.13528031460231704,0.0582010582010582,0.26207342952543666,0.02433862433862434,0.00019744189678519149
EURGBP,VAR,945,2.9064446668824764,0.03118550528221431,0.31052808571069346,0.01904761904761905,0.012385886831797359,0.04867724867724868,0.940452436187484,0.06984126984126984,0.0070904270001639225,0.04021164021164021,1.5025522950472038e-12
EURJPY,AR,945,2.7601709638131724,0.03134862744327105,0.30462955167958705,0.021164021164021163,0.0025366399912742504,0.04656084656084656,0.7087353143517447,0.056084656084656084,0.3706252046130505,0.01798941798941799,0.02066272004375662
EURJPY,HAR,945,2.853963102646266,0.03289189520383312,0.25269704248776603,0.014814814814814815,0.13856610541603942,0.05185185185185185,0.7652274845521132,0.04867724867724868,0.9404524361874849,0.014814814814814815,0.1385661054160397
EURJPY,VAR,945,2.6016554271260546,0.038879278983358134,0.11189842287592,0.025396825396825397,4.639592291439966e-05,0.05502645502645503,0.45550434618381375,0.07089947089947089,0.005561749820252422,0.025396825396825397,4.63959229144001e-05
GBPAUD,AR,945,2.785171981752385,0.033079803674221364,0.24684699771998442,0.012698412698412698,0.4093296678565267,0.05714285714285714,0.29640486618883877,0.042328042328042326,0.3311363548186002,0.014814814814814815,0.1385661054160397
GBPAUD,HAR,945,-3058528749.5020247,0.025158285672110314,0.5790902948343566,0.016931216931216932,0.04649944489362401,0.05502645502645503,0.45550434618381375,0.05714285714285714,0.2964048661888399,0.02328042328042328,0.00038495972068270935
GBPAUD,VAR,945,2.599559036858638,0.023507184352770938,0.6643080469058822,0.021164021164021163,0.0025366399912742504,0.050793650793650794,0.8813022977174334,0.06666666666666667,0.024710930698846764,0.025396825396825397,4.63959229144001e-05
GBPCAD,AR,945,2.966186459097491,0.03864965647509466,0.1157447482408156,0.014814814814814815,0.13856610541603942,0.056084656084656084,0.3706252046130508,0.04656084656084656,0.7087353143517464,0.020105820105820106,0.0046608400614387155
GBPCAD,HAR,945,3.028347567914619,0.02067119800500103,0.8061560968875662,0.016931216931216932,0.04649944489362401,0.06031746031746032,0.15537934348556232,0.056084656084656084,0.3706252046130505,0.01798941798941799,0.02066272004375662
GBPCAD,VAR,945,2.823433625170044,0.028125411188170135,0.4354989158210478,0.016931216931216932,0.04649944489362401,0.06349206349206349,0.06170316592536003,0.05502645502645503,0.45550434618381486,0.021164021164021163,0.0025366399912742643
GBPCHF,AR,945,2.64615085413477,0.06233042378414835,0.0012359946571313097,0.026455026455026454,1.6899747345999995e-05,0.050793650793650794,0.8813022977174334,0.039153439153439155,0.13528031460232015,0.012698412698412698,0.40932966785652913
GBPCHF,HAR,945,2.7631897778034076,0.04484407050370842,0.043354195687319574,0.031746031746031744,6.235073722122601e-08,0.05714285714285714,0.29640486618883877,0.039153439153439155,0.13528031460232015,0.009523809523809525,1.0
GBPCHF,VAR,945,2.520994284835011,0.0361418820568985,0.16522676711843376,0.0328042328042328,1.834892161458158e-08,0.07195767195767196,0.0034652176299282958,0.04973544973544974,1.0,0.020105820105820106,0.0046608400614387155
GBPJPY,AR,945,2.571423648528212,0.05937520132095092,0.00244632321837334,0.025396825396825397,4.639592291439966e-05,0.04867724867724868,0.940452436187484,0.04126984126984127,0.2328013624755892,0.015873015873015872,0.07203850054188986
GBPJPY,HAR,945,2.6692864120732516,0.04849719868459468,0.022692452291926363,0.025396825396825397,4.639592291439966e-05,0.05925925925925926,0.20366678040205616,0.0455026455026455,0.6009455544274831,0.016931216931216932,0.046499444893624266
GBPJPY,VAR,945,2.4187247786647506,0.04901572073690419,0.020615516156030418,0.030687830687830688,2.0502037952661255e-07,0.05714285714285714,0.29640486618883877,0.05291005291005291,0.6542265907427748,0.016931216931216932,0.046499444893624266
GBPUSD,AR,945,2.819896849108065,0.03649117709910796,0.1574636368668555,0.022222222222222223,0.0008269660198697054,0.0455026455026455,0.600945554427484,0.033862433862433865,0.02050088620391853,0.016931216931216932,0.046499444893624266
GBPUSD,HAR,945,2.8973610594657297,0.019641025296888492,0.8520160882260396,0.02328042328042328,0.000384959720682707,0.05925925925925926,0.20366678040205616,0.044444444444444446,0.5012131713239738,0.01798941798941799,0.02066272004375662
GBPUSD,VAR,945,2.6829874048799107,0.022760982918927246,0.7028514404501569,0.027513227513227514,5.923594740547037e-06,0.06878306878306878,0.010941678608266146,0.05502645502645503,0.45550434618381486,0.021164021164021163,0.0025366399912742643
USDCHF,AR,945,2.7793734670212453,0.04580163295953582,0.03676721578476594,0.020105820105820106,0.004660840061438696,0.047619047619047616,0.822668841244145,0.04973544973544974,1.0,0.01904761904761905,0.012385886831797423
USDCHF,HAR,945,2.6433229367659603,0.03137002028903385,0.3038618144690447,0.027513227513227514,5.923594740547037e-06,0.06349206349206349,0.06170316592536003,0.050793650793650794,0.8813022977174316,0.01164021164021164,0.6207515603135478
USDCHF,VAR,945,2.643818529447571,0.0340781919363598,0.2174445758488145,0.027513227513227514,5.923594740547037e-06,0.0656084656084656,0.03610685901189611,0.061375661375661375,0.11635378176362729,0.022222222222222223,0.0008269660198697089
